root_id,cell_type,side,nt
118980,PFNa,left,acetylcholine
121578,IbSpsP,right,acetylcholine
122132,PFNp_c,right,acetylcholine
123127,PFNa,left,acetylcholine
123377,IbSpsP,right,acetylcholine
123428,PFNp_e,right,acetylcholine
124099,PFNp_b,right,acetylcholine
124313,PFNm_b,left,acetylcholine
124466,PFNm_b,left,acetylcholine
125273,PFNm_b,right,acetylcholine
125729,PFNm_b,right,acetylcholine
125940,PFNp_b,right,acetylcholine
128552,IbSpsP,right,acetylcholine
129715,PFNa,left,acetylcholine
129748,PFNm_b,left,acetylcholine
129971,PFNp_a,right,acetylcholine
131124,IbSpsP,right,acetylcholine
131142,PFNp_c,right,acetylcholine
131313,EPG,right,acetylcholine
131537,PFNp_c,right,acetylcholine
132382,PFNp_e,left,acetylcholine
132828,PFNp_c,right,acetylcholine
132898,PFNp_c,left,acetylcholine
133002,PFNp_e,left,acetylcholine
133079,PFNp_a,left,acetylcholine
133645,PFNp_c,left,acetylcholine
134390,PFNp_c,left,acetylcholine
135201,PFNp_b,left,acetylcholine
135453,PFNm_a,left,acetylcholine
138785,PFNp_e,right,acetylcholine
139612,PFNp_b,right,acetylcholine
140308,PFNp_b,right,acetylcholine
140609,PFNp_c,left,acetylcholine
140688,PFNp_e,right,acetylcholine
140831,PFNp_a,left,acetylcholine
141295,PFNm_b,right,acetylcholine
144052,PFNp_a,left,acetylcholine
144110,PFNp_a,left,acetylcholine
144163,PFNp_e,left,acetylcholine
144164,PFNp_b,right,acetylcholine
144251,PFNp_c,right,acetylcholine
145039,PFNa,left,acetylcholine
145234,PFNp_b,left,acetylcholine
145547,PFNa,left,acetylcholine
146988,PFNp_b,right,acetylcholine
147036,PFNp_a,right,acetylcholine
147142,PFNm_b,right,acetylcholine
147211,PFNp_a,left,acetylcholine
147832,PFNa,left,acetylcholine
147909,PFNp_b,left,acetylcholine
148295,PFNp_e,left,acetylcholine
148473,PFNp_b,left,acetylcholine
148515,IbSpsP,right,acetylcholine
148713,PFNp_c,left,acetylcholine
149200,PFNp_b,left,acetylcholine
149414,PFNm_a,right,acetylcholine
149501,PFNm_b,right,acetylcholine
150112,PFNp_b,left,acetylcholine
150364,PFNm_b,left,acetylcholine
150382,PFNp_d,left,acetylcholine
150450,PFNp_e,right,acetylcholine
150676,PFNp_b,right,acetylcholine
151641,PFNp_a,right,acetylcholine
152649,PFNp_b,left,acetylcholine
153318,PFNp_b,left,acetylcholine
153367,PFNp_b,left,acetylcholine
153375,PFNm_b,left,acetylcholine
153543,PFNp_a,left,acetylcholine
154239,PFNp_b,right,acetylcholine
154748,PFNp_a,left,acetylcholine
154955,PFNp_b,right,acetylcholine
155238,PFNm_a,left,acetylcholine
155307,PFNp_b,right,acetylcholine
155385,PFNm_a,left,acetylcholine
155930,PFNp_b,right,acetylcholine
156116,PFNp_b,left,acetylcholine
156581,PFNp_b,left,acetylcholine
156696,PFNm_b,right,acetylcholine
156699,PFNp_b,right,acetylcholine
156843,PFNp_b,left,acetylcholine
157170,PFNp_a,left,acetylcholine
157747,PFNp_b,left,acetylcholine
158003,PFNp_b,right,acetylcholine
158417,PFNp_b,right,acetylcholine
158552,PFNp_e,left,acetylcholine
