root_id,cell_type,side,nt
720575940621764490,PFNd,left,acetylcholine
720575940621825518,PFGs,right,glutamate
720575940621854563,ExR8,left,acetylcholine
720575940621905869,ER2,left,gaba
720575940621975081,PFR,right,dopamine
720575940622028253,IbSpsP,left,acetylcholine
720575940622030861,ER3p_b,left,gaba
720575940622081516,PEG,left,acetylcholine
720575940622138564,PEG,left,acetylcholine
720575940622147881,PFNp,right,acetylcholine
720575940622156148,PFR,left,serotonin
720575940622217654,PFGs,right,serotonin
720575940622227550,"ER3a_a,ER3a_d",right,gaba
720575940622234326,PFL3,left,acetylcholine
720575940622252493,ER3m,left,gaba
720575940622265894,PEN_b(PEN2),left,acetylcholine
720575940622296573,PFNd,left,acetylcholine
720575940622307248,PFNp,left,acetylcholine
720575940622312472,PFNp,right,serotonin
720575940622331274,PFNp,right,acetylcholine
720575940622331786,PFNp,right,acetylcholine
720575940622333578,LNO1,left,gaba
720575940622342576,ER4d,left,gaba
720575940622348725,PFL1,right,acetylcholine
720575940622364771,EPG,right,acetylcholine
720575940622422507,PFL1,left,acetylcholine
720575940622431305,ER3p_a,right,gaba
720575940622433140,"ER3a_a,ER3a_d",left,gaba
720575940622455369,PFNm,left,acetylcholine
720575940622569827,PFNa,left,acetylcholine
720575940622609299,ER4d,left,gaba
720575940622620296,IbSpsP,right,acetylcholine
720575940622727629,PFL3,left,acetylcholine
720575940622736713,IbSpsP,right,acetylcholine
720575940622772137,PEN_a(PEN1),left,acetylcholine
720575940622811636,ER1,right,gaba
720575940622815123,PFGs,right,serotonin
720575940622840300,PFNp,left,acetylcholine
720575940622913260,PEN_a(PEN1),left,acetylcholine
720575940622939124,ER2,left,gaba
720575940622940967,PFNd,right,acetylcholine
720575940622945037,LNO2,left,gaba
720575940622974707,ER3w,left,gaba
720575940622986219,PFNd,left,acetylcholine
720575940622991252,"ER3a_a,ER3a_d",right,gaba
720575940623022315,PFNp,left,acetylcholine
720575940623046548,EPG,left,acetylcholine
720575940623059214,PFNp,right,dopamine
720575940623084471,PFGs,left,serotonin
720575940623194632,PFNp,left,acetylcholine
720575940623201789,ER3d,left,gaba
720575940623219463,ER4d,right,gaba
720575940623233259,PFNa,right,acetylcholine
720575940623297038,ER3w,left,gaba
720575940623306168,PEG,right,acetylcholine
720575940623344460,PFNa,left,acetylcholine
720575940623375595,IbSpsP,left,acetylcholine
720575940623388237,PEN_b(PEN2),right,acetylcholine
720575940623392949,PFGs,left,glutamate
720575940623419465,PFNp,right,serotonin
720575940623430621,PFL3,left,acetylcholine
720575940623440381,PFNp,right,serotonin
720575940623441996,"ER3a_a,ER3a_d",right,gaba
720575940623449480,LNO1,left,gaba
720575940623466632,ER4d,left,gaba
720575940623468988,PFNp,right,acetylcholine
720575940623498476,PFNm,left,acetylcholine
720575940623500692,PFNa,right,acetylcholine
720575940623540007,PFNp,right,acetylcholine
720575940623559974,ER3p_a,left,gaba
720575940623581005,PFNp,right,acetylcholine
720575940623585255,PFL2,right,acetylcholine
720575940623698324,ER4d,left,gaba
720575940623852873,EPG,left,acetylcholine
720575940623897955,PFR,right,dopamine
720575940623904551,PFR,left,dopamine
720575940623937976,PFL2,right,acetylcholine
720575940624004752,ER2,left,gaba
720575940624006327,Delta7,right,glutamate
720575940624039370,PFNp,right,acetylcholine
720575940624082725,PFNm,left,acetylcholine
720575940624096234,EPG,left,acetylcholine
720575940624108862,ER5,left,gaba
720575940624114712,Delta7,right,glutamate
720575940624135060,ER3d,left,gaba
720575940624163109,PFNm,left,acetylcholine
720575940624180263,ER4d,left,gaba
720575940624274276,PFNp,right,acetylcholine
720575940624280676,PFNm,right,acetylcholine
720575940624320318,PFL3,left,acetylcholine
720575940624323475,ExR2_2,left,dopamine
720575940624326462,PFNp,right,acetylcholine
720575940624336316,PFNp,right,acetylcholine
720575940624337338,PFNp,left,acetylcholine
720575940624356234,ER3d,left,gaba
720575940624373837,ER4d,right,gaba
720575940624452902,LPsP,left,glutamate
720575940624453680,PEN_b(PEN2),left,acetylcholine
720575940624470812,ER3w,right,gaba
720575940624562952,PFNd,right,acetylcholine
720575940624594726,PEN_a(PEN1),right,acetylcholine
720575940624608714,PFNp,right,acetylcholine
720575940624612912,PFNp,right,serotonin
720575940624617397,PFNa,left,acetylcholine
720575940624638650,PFNp,right,acetylcholine
720575940624669733,Delta7,right,glutamate
720575940624737869,PFNv,left,acetylcholine
720575940624738234,PFNp,left,serotonin
720575940624754981,PFL2,left,acetylcholine
720575940624759652,PFNa,left,acetylcholine
720575940624773148,IbSpsP,left,acetylcholine
720575940624783287,ER3d,right,gaba
720575940624784280,EPG,left,acetylcholine
720575940624827523,PFNa,left,acetylcholine
720575940624836810,PFNm,right,acetylcholine
720575940624837453,ER5,right,gaba
720575940624852057,PFNp,left,acetylcholine
720575940624863516,PFR,left,dopamine
720575940624879678,PEN_a(PEN1),left,acetylcholine
720575940624888010,PFNp,left,acetylcholine
720575940625009182,PFNp,left,acetylcholine
720575940625013144,PFNp,left,acetylcholine
720575940625021796,PEN_b(PEN2),left,acetylcholine
720575940625131913,PFNp,right,acetylcholine
720575940625172764,PFNa,left,acetylcholine
720575940625176092,PFNm,left,acetylcholine
720575940625213898,IbSpsP,right,acetylcholine
720575940625218685,ER3d,right,gaba
720575940625233445,ER3d,left,gaba
720575940625262108,IbSpsP,right,acetylcholine
720575940625276745,"ER3a_a,ER3a_d",right,gaba
720575940625308162,PFL3,right,acetylcholine
720575940625351354,EPG,left,acetylcholine
720575940625366846,ER2,right,gaba
